version,major,date,item_index,summary,full,cves
15.0,15,2022-10-13,0,Record and check the collation version of each database (Peter Eisentraut) §,"Record and check the collation version of each database (Peter Eisentraut) § This feature is designed to detect collation version changes to avoid index corruption. Function pg_database_collation_actual_version() reports the underlying operating system collation version, and ALTER DATABASE ... REFRESH sets the recorded database collation version to match the operating system collation version.",
15.0,15,2022-10-13,1,Allow ICU collations to be set as the default for clusters and databases (Peter Eisentraut) §,"Allow ICU collations to be set as the default for clusters and databases (Peter Eisentraut) § Previously, only libc -based collations could be selected at the cluster and database levels. ICU collations could only be used via explicit COLLATE clauses.",
15.0,15,2022-10-13,2,Add system view pg_ident_file_mappings to report pg_ident.conf information (Julien Rouhaud) §,Add system view pg_ident_file_mappings to report pg_ident.conf information (Julien Rouhaud) §,
15.0,15,2022-10-13,3,Improve planning time for queries referencing partitioned tables (David Rowley) §,Improve planning time for queries referencing partitioned tables (David Rowley) § This change helps when only a few of many partitions are relevant.,
15.0,15,2022-10-13,4,Allow ordered scans of partitions to avoid sorting in more cases (David Rowley) §,"Allow ordered scans of partitions to avoid sorting in more cases (David Rowley) § Previously, a partitioned table with a DEFAULT partition or a LIST partition containing multiple values could not be used for ordered partition scans. Now they can be used if such partitions are pruned during planning.",
15.0,15,2022-10-13,5,Improve foreign key behavior of updates on partitioned tables that move rows between partitions (Amit Langote) §,"Improve foreign key behavior of updates on partitioned tables that move rows between partitions (Amit Langote) § Previously, such updates ran a delete action on the source partition and an insert action on the target partition. PostgreSQL will now run an update action on the partition root, providing cleaner semantics.",
15.0,15,2022-10-13,6,Allow CLUSTER on partitioned tables (Justin Pryzby) § §,Allow CLUSTER on partitioned tables (Justin Pryzby) § §,
15.0,15,2022-10-13,7,"Fix ALTER TRIGGER RENAME on partitioned tables to properly rename triggers on all partitions (Arne Roland, Álvaro Herrera) §","Fix ALTER TRIGGER RENAME on partitioned tables to properly rename triggers on all partitions (Arne Roland, Álvaro Herrera) § Also prohibit cloned triggers from being renamed.",
15.0,15,2022-10-13,8,Allow btree indexes on system and TOAST tables to efficiently store duplicates (Peter Geoghegan) §,Allow btree indexes on system and TOAST tables to efficiently store duplicates (Peter Geoghegan) § Previously de-duplication was disabled for these types of indexes.,
15.0,15,2022-10-13,9,"Improve lookup performance of GiST indexes that were built using sorting (Aliaksandr Kalenik, Sergei Shoulbakov, Andrey Borodin) §","Improve lookup performance of GiST indexes that were built using sorting (Aliaksandr Kalenik, Sergei Shoulbakov, Andrey Borodin) §",
15.0,15,2022-10-13,10,Allow unique constraints and indexes to treat NULL values as not distinct (Peter Eisentraut) §,"Allow unique constraints and indexes to treat NULL values as not distinct (Peter Eisentraut) § Previously NULL entries were always treated as distinct values, but this can now be changed by creating constraints and indexes using UNIQUE NULLS NOT DISTINCT .",
15.0,15,2022-10-13,11,Allow the ^@ starts-with operator and the starts_with() function to use btree indexes if using the C collation (Tom Lane) §,Allow the ^@ starts-with operator and the starts_with() function to use btree indexes if using the C collation (Tom Lane) § Previously these could only use SP-GiST indexes.,
15.0,15,2022-10-13,12,"Allow extended statistics to record statistics for a parent with all its children (Tomas Vondra, Justin Pryzby) §","Allow extended statistics to record statistics for a parent with all its children (Tomas Vondra, Justin Pryzby) § Regular statistics already tracked parent and parent-plus-all-children statistics separately.",
15.0,15,2022-10-13,13,Add server variable recursive_worktable_factor to allow the user to specify the expected size of the working table of a recursive query (Simon Riggs) §,Add server variable recursive_worktable_factor to allow the user to specify the expected size of the working table of a recursive query (Simon Riggs) §,
15.0,15,2022-10-13,14,"Allow hash lookup for NOT IN clauses with many constants (David Rowley, James Coleman) §","Allow hash lookup for NOT IN clauses with many constants (David Rowley, James Coleman) § Previously the code always sequentially scanned the list of values.",
15.0,15,2022-10-13,15,Allow SELECT DISTINCT to be parallelized (David Rowley) §,Allow SELECT DISTINCT to be parallelized (David Rowley) §,
15.0,15,2022-10-13,16,"Speed up encoding validation of UTF -8 text by processing 16 bytes at a time (John Naylor, Heikki Linnakangas) §","Speed up encoding validation of UTF -8 text by processing 16 bytes at a time (John Naylor, Heikki Linnakangas) § This will improve text-heavy operations like COPY FROM .",
15.0,15,2022-10-13,17,Improve performance for sorts that exceed work_mem (Heikki Linnakangas) § §,"Improve performance for sorts that exceed work_mem (Heikki Linnakangas) § § When the sort data no longer fits in work_mem , switch to a batch sorting algorithm that uses more output streams than before.",
15.0,15,2022-10-13,18,"Improve performance and reduce memory consumption of in-memory sorts (Ronan Dunklau, David Rowley, Thomas Munro, John Naylor) § § §","Improve performance and reduce memory consumption of in-memory sorts (Ronan Dunklau, David Rowley, Thomas Munro, John Naylor) § § §",
15.0,15,2022-10-13,19,"Allow WAL full page writes to use LZ4 and Zstandard compression (Andrey Borodin, Justin Pryzby) § §","Allow WAL full page writes to use LZ4 and Zstandard compression (Andrey Borodin, Justin Pryzby) § § This is controlled by the wal_compression server setting.",
15.0,15,2022-10-13,20,Add support for writing WAL using direct I/O on macOS (Thomas Munro) §,Add support for writing WAL using direct I/O on macOS (Thomas Munro) § This only works if max_wal_senders = 0 and wal_level = minimal .,
15.0,15,2022-10-13,21,Allow vacuum to be more aggressive in setting the oldest frozen and multi transaction id (Peter Geoghegan) §,Allow vacuum to be more aggressive in setting the oldest frozen and multi transaction id (Peter Geoghegan) §,
15.0,15,2022-10-13,22,"Allow a query referencing multiple foreign tables to perform parallel foreign table scans in more cases (Andrey Lepikhov, Etsuro Fujita) §","Allow a query referencing multiple foreign tables to perform parallel foreign table scans in more cases (Andrey Lepikhov, Etsuro Fujita) §",
15.0,15,2022-10-13,23,"Improve the performance of window functions that use row_number() , rank() , dense_rank() and count() (David Rowley) §","Improve the performance of window functions that use row_number() , rank() , dense_rank() and count() (David Rowley) §",
15.0,15,2022-10-13,24,Improve the performance of spinlocks on high-core-count ARM64 systems (Geoffrey Blake) §,Improve the performance of spinlocks on high-core-count ARM64 systems (Geoffrey Blake) §,
15.0,15,2022-10-13,25,Enable default logging of checkpoints and slow autovacuum operations (Bharath Rupireddy) §,"Enable default logging of checkpoints and slow autovacuum operations (Bharath Rupireddy) § This changes the default of log_checkpoints to on and that of log_autovacuum_min_duration to 10 minutes. This will cause even an idle server to generate some log output, which might cause problems on resource-constrained servers without log file rotation. These defaults should be changed in such cases.",
15.0,15,2022-10-13,26,"Generate progress messages in the server log during slow server starts (Nitin Jadhav, Robert Haas) § §","Generate progress messages in the server log during slow server starts (Nitin Jadhav, Robert Haas) § § The messages report the cause of the delay. The time interval for notification is controlled by the new server variable log_startup_progress_interval .",
15.0,15,2022-10-13,27,"Store cumulative statistics system data in shared memory (Kyotaro Horiguchi, Andres Freund, Melanie Plageman) § §","Store cumulative statistics system data in shared memory (Kyotaro Horiguchi, Andres Freund, Melanie Plageman) § § Previously this data was sent to a statistics collector process via UDP packets, and could only be read by sessions after transferring it via the file system. There is no longer a separate statistics collector process.",
15.0,15,2022-10-13,28,Add additional information to VACUUM VERBOSE and autovacuum logging messages (Peter Geoghegan) § § §,Add additional information to VACUUM VERBOSE and autovacuum logging messages (Peter Geoghegan) § § §,
15.0,15,2022-10-13,29,Add EXPLAIN (BUFFERS) output for temporary file block I/O (Masahiko Sawada) §,Add EXPLAIN (BUFFERS) output for temporary file block I/O (Masahiko Sawada) §,
15.0,15,2022-10-13,30,"Allow log output in JSON format (Sehrope Sarkuni, Michael Paquier) §","Allow log output in JSON format (Sehrope Sarkuni, Michael Paquier) § The new setting is log_destination = jsonlog .",
15.0,15,2022-10-13,31,Allow pg_stat_reset_single_table_counters() to reset the counters of relations shared across all databases (Sadhuprasad Patro) §,Allow pg_stat_reset_single_table_counters() to reset the counters of relations shared across all databases (Sadhuprasad Patro) §,
15.0,15,2022-10-13,32,Add wait events for local shell commands (Fujii Masao) §,"Add wait events for local shell commands (Fujii Masao) § The new wait events are used when calling archive_command , archive_cleanup_command , restore_command and recovery_end_command .",
15.0,15,2022-10-13,33,Allow table accesses done by a view to optionally be controlled by privileges of the view's caller (Christoph Heiss) §,"Allow table accesses done by a view to optionally be controlled by privileges of the view's caller (Christoph Heiss) § Previously, view accesses were always treated as being done by the view's owner. That's still the default.",
15.0,15,2022-10-13,34,Allow members of the pg_write_server_files predefined role to perform server-side base backups (Dagfinn Ilmari Mannsåker) §,Allow members of the pg_write_server_files predefined role to perform server-side base backups (Dagfinn Ilmari Mannsåker) § Previously only superusers could perform such backups.,
15.0,15,2022-10-13,35,Allow GRANT to grant permissions to change individual server variables via SET and ALTER SYSTEM (Mark Dilger) § §,Allow GRANT to grant permissions to change individual server variables via SET and ALTER SYSTEM (Mark Dilger) § § The new function has_parameter_privilege() reports on this privilege.,
15.0,15,2022-10-13,36,Add predefined role pg_checkpoint that allows members to run CHECKPOINT (Jeff Davis) § §,Add predefined role pg_checkpoint that allows members to run CHECKPOINT (Jeff Davis) § § Previously checkpoints could only be run by superusers.,
15.0,15,2022-10-13,37,Allow members of the pg_read_all_stats predefined role to access the views pg_backend_memory_contexts and pg_shmem_allocations (Bharath Rupireddy) §,Allow members of the pg_read_all_stats predefined role to access the views pg_backend_memory_contexts and pg_shmem_allocations (Bharath Rupireddy) § Previously these views could only be accessed by superusers.,
15.0,15,2022-10-13,38,Allow GRANT to grant permissions on pg_log_backend_memory_contexts() (Jeff Davis) §,Allow GRANT to grant permissions on pg_log_backend_memory_contexts() (Jeff Davis) § Previously this function could only be run by superusers.,
15.0,15,2022-10-13,39,Add server variable shared_memory_size to report the size of allocated shared memory (Nathan Bossart) § §,Add server variable shared_memory_size to report the size of allocated shared memory (Nathan Bossart) § §,
15.0,15,2022-10-13,40,Add server variable shared_memory_size_in_huge_pages to report the number of huge memory pages required (Nathan Bossart) § §,Add server variable shared_memory_size_in_huge_pages to report the number of huge memory pages required (Nathan Bossart) § § This is only supported on Linux.,
15.0,15,2022-10-13,41,Honor server variable shared_preload_libraries in single-user mode (Jeff Davis) §,"Honor server variable shared_preload_libraries in single-user mode (Jeff Davis) § This change supports use of shared_preload_libraries to load custom access methods and WAL resource managers, which would be essential for database access even in single-user mode.",
15.0,15,2022-10-13,42,"On Solaris, make the default setting of dynamic_shared_memory_type be sysv (Thomas Munro) §","On Solaris, make the default setting of dynamic_shared_memory_type be sysv (Thomas Munro) § The previous default choice, posix , can result in spurious failures on this platform.",
15.0,15,2022-10-13,43,Allow postgres -C to properly report runtime-computed values (Nathan Bossart) §,"Allow postgres -C to properly report runtime-computed values (Nathan Bossart) § Previously runtime-computed values data_checksums , wal_segment_size , and data_directory_mode would report values that would not be accurate on the running server. However, this does not work on a running server.",
15.0,15,2022-10-13,44,"Add support for LZ4 and Zstandard compression of server-side base backups (Jeevan Ladhe, Robert Haas) § § §","Add support for LZ4 and Zstandard compression of server-side base backups (Jeevan Ladhe, Robert Haas) § § §",
15.0,15,2022-10-13,45,Run the checkpointer and bgwriter processes during crash recovery (Thomas Munro) §,Run the checkpointer and bgwriter processes during crash recovery (Thomas Munro) § This helps to speed up long crash recoveries.,
15.0,15,2022-10-13,46,Allow WAL processing to pre-fetch needed file contents (Thomas Munro) §,Allow WAL processing to pre-fetch needed file contents (Thomas Munro) § This is controlled by the server variable recovery_prefetch .,
15.0,15,2022-10-13,47,Allow archiving via loadable modules (Nathan Bossart) §,"Allow archiving via loadable modules (Nathan Bossart) § Previously, archiving was only done by calling shell commands. The new server variable archive_library can be set to specify a library to be called for archiving.",
15.0,15,2022-10-13,48,No longer require IDENTIFY_SYSTEM to be run before START_REPLICATION (Jeff Davis) §,No longer require IDENTIFY_SYSTEM to be run before START_REPLICATION (Jeff Davis) §,
15.0,15,2022-10-13,49,"Allow publication of all tables in a schema (Vignesh C, Hou Zhijie, Amit Kapila) § § §","Allow publication of all tables in a schema (Vignesh C, Hou Zhijie, Amit Kapila) § § § For example, this syntax is now supported: CREATE PUBLICATION pub1 FOR TABLES IN SCHEMA s1,s2 . ALTER PUBLICATION supports a similar syntax. Tables added later to the listed schemas will also be replicated.",
