item_ord,content_hash,model,prompt_version,category_content,confidence,is_security_hardening,is_performance,rationale
1,252b80cae0318a42,qwen3:30b-a3b,v2,"Storage, vacuum & TOAST",0.95,false,false,"The fix addresses a bug where large tables, split into multiple files, were not fully removed during table drops, leading to orphaned files that consume disk space. This is a storage management issue related to the physical storage of tables and their cleanup."
2,117af1fb73640f27,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an issue with handling DEFAULT tokens in a multi-row VALUES clause for an INSERT on an updatable view, which could cause cache lookup failures or crashes. This relates to query execution correctness and potential crashes, not to numeric errors or security vulnerabilities."
3,9a34b92c1085d509,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses a specific issue with rules named _RETURN not being allowed unless they are on SELECT statements, preventing confusion between view rules and other rules. This is about correct SQL semantics during execution, specifically rule behavior for views."
4,fd0f9e26e670c097,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses an issue where EXPLAIN VERBOSE fails when used with a query that employs SEARCH BREADTH FIRST and constant initial values. This relates to the correct execution and output of query planning and explanation, specifically within the context of query planning and optimization."
5,61919d5e0b4f3b7f,qwen3:30b-a3b,v2,Execution & correctness,0.95,false,false,"The fix addresses an unsupported operation (MERGE on a partitioned table with foreign-table partitions) that previously caused an unclear error. This is about incorrect SQL semantics during execution, specifically related to the behavior of the MERGE statement on partitioned tables with foreign tables."
6,ae6a6c17ea2205eb,qwen3:30b-a3b,v2,Partitioning & inheritance,0.95,false,false,"The fix addresses an issue with constructing foreign key constraints when attaching a partition, which relates to the correctness of constraint handling during partition management. This is not a security or performance issue but rather a correctness problem in how constraints are managed during partition operations."
7,1d688bb33322b3a9,qwen3:30b-a3b,v2,Planner & optimizer,0.95,false,false,"The fix addresses a planner failure related to extended statistics on partitioned or inherited tables, specifically resolving a cache lookup issue for statistics objects. This pertains to query planning and optimization involving statistics used for planning."
8,8aec689c557208c7,qwen3:30b-a3b,v2,Indexes,0.95,false,false,"The fix addresses a mis-ordering of WAL operations in the fast insert path for GIN indexes, which is a storage and index-related issue affecting the correctness of index operations during writes. This is not a security or performance issue but rather a correctness problem in index handling."
9,226bd819fe971c4a,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses issues in logical decoding related to replaying transactions between transaction and subtransaction boundaries, which could cause assertion failures or memory leaks. This is fundamentally about backend stability and memory management, not query results, performance, or security vulnerabilities."
10,bd68c7a1dd21dfc7,qwen3:30b-a3b,v2,Build & platform,0.95,false,false,"The fix addresses interrupt handling during logical decoding, specifically improving the shutdown process for replication workers by accepting interrupts in more locations. This is about ensuring replication workers can shut down more efficiently without getting stuck, which relates to replication behavior and stability."
11,29447b27a77fa798,qwen3:30b-a3b,v2,Replication & recovery,0.95,false,false,"The fix addresses a crash in logical replication workers when attempting to replicate into a foreign-table partition, which is unsupported. This is fundamentally about preventing a crash in replication behavior, falling under the 'Replication & recovery' category."
12,9789337a7a09adf9,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses a crash in logical replication workers caused by a syntax error in function creation commands, which falls under backend stability issues not tied to a more specific area."
13,e0cc399cbeb753d9,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses a double call of the shutdown callback in an archiver module, which is a stability issue related to the proper handling of module shutdown procedures. This is not a security vulnerability or performance issue but rather a correctness concern in the archiver's lifecycle management."
14,52fa6f2b7772ac41,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses a scenario where a table with no table access method is accessed, preventing a crash in catalog-corruption cases like a missing ON SELECT rule for a view. This is fundamentally about backend stability and preventing crashes, not about query results, indexes, or other categories."
15,1dc174a42002ea3e,qwen3:30b-a3b,v2,"Concurrency, locking & crashes",0.95,false,false,"The fix addresses a scenario where the postmaster process crashes due to insufficient caution when handling corrupted shared memory, which is a stability issue related to backend processes and shared memory management."
16,ecc072ea3032eb15,qwen3:30b-a3b,v2,Client interfaces,0.95,false,false,"The fix addresses an issue in libpq related to handling the single-row mode when pipelining is active, specifically ensuring the single-row flag is reset at the correct time. This is about the correct behavior of the client interface library, not a security or performance issue."
17,2f81d6e087b9dbb3,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix addresses the behavior of psql when a command-line query is canceled, ensuring it exits with a nonzero status instead of a successful exit. This is about the correct handling of error conditions in the client tool, specifically psql."
18,2794bb257eef244a,qwen3:30b-a3b,v2,Client tools,0.95,false,false,"The fix allows pg_basebackup to handle tablespace paths in both Unix-style and Windows-style absolute paths, enabling cross-platform tablespace relocation. This is about client tool behavior when dealing with different OS path conventions."
