category_order,category,definition
1,Planner & optimizer,"Query planning and optimization: plan and path choice, cost and selectivity estimation, join and partitionwise planning, equivalence classes, and the statistics used for planning."
2,Execution & correctness,"Wrong query results or incorrect SQL semantics during execution: the rewriter, MERGE/INSERT/UPDATE/DELETE behavior, generated columns, rules, and triggers producing wrong outcomes — not crashes."
3,Indexes,"Index access methods and their internals — btree, GiST, SP-GiST, GIN, BRIN, hash — covering build, scan, WAL logging, and correctness of indexed lookups."
4,Partitioning & inheritance,"Declarative partitioning and table inheritance: attach/detach, partition-level constraints and pruning, and behavior specific to partitioned or inherited tables."
5,Replication & recovery,"WAL, crash and point-in-time recovery, physical and logical replication, replication slots, standby and hot-standby, walsender/walreceiver, and subscriptions."
6,"Concurrency, locking & crashes","Backend stability not tied to a more specific area: locking and deadlocks, race conditions, shared memory, and process crashes, assertions, or panics."
7,"Numeric, overflow & limits","Numeric and arithmetic errors only: integer or numeric overflow in COMPUTED values, precision, rounding, division, and range of arithmetic results. NOT buffer overruns / out-of-bounds memory (those belong to the affected component, flagged as security hardening) and NOT disk-space or storage limits."
8,"Data types, text & collation","Data-type behavior, text and encoding handling, collations (including nondeterministic), pattern matching, and json/array type semantics."
9,Client tools,"Server-shipped command-line programs: pg_dump/pg_restore/pg_dumpall, pg_upgrade, pg_basebackup, psql, pgbench, pg_ctl, initdb, and the like."
10,Client interfaces,"Client-facing libraries and protocols: libpq, ECPG, the wire protocol, and connection, SSL, or GSS handling."
11,Extensions & contrib,"contrib modules and procedural languages (postgres_fdw, pg_stat_statements, pgcrypto, PL/pgSQL, PL/Perl, PL/Python, PL/Tcl, and similar)."
12,Build & platform,"Build system (make, meson, configure, pgxs), compilers and toolchains, OS and architecture portability, JIT/LLVM, and locale/ICU provider concerns."
13,"Storage, vacuum & TOAST","Physical storage and space management: heap and table storage, TOAST (out-of-line and compressed values), the free space map, vacuum and autovacuum, table bloat, and relation segment/file management."
